nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
46,"Marika Lautso-Mousnier, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",9/01/2018,Brussels,Industrial policy & challenges of EU competitiveness,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
47,"Maximilian Strotmann, Cabinet member of Andrus Ansip;Andrus Ansip, Vice-President",Digital Single Market,19/12/2017,Brussels,"Data, telecom, e- health, digitalising industry",Bundesverband der Deutschen Industrie e.V. (BDI),TRUE,,,
48,"Manuel Nobre Goncalves, Cabinet member of Carlos Moedas;Keith Sequeira, Cabinet member of Carlos Moedas","Research, Science and Innovation",13/12/2017,Brussels,Industry in FP9,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
49,"Michel Barnier, Director-General",Head of Task Force of Task Force for Relations with the United Kingdom (UKTF),29/11/2017,Berlin,Meeting with the Task Force for the Preparation and Conduct of the Negotiations with the United Kingdom under Article 50 TEU,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
50,"Daniel Calleja Crespo, Director-General",Director-General of Environment (ENV),21/11/2017,Brussels,"Circular Economy, Natura 2000, Sustainable Development Goals",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
51,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,24/10/2017,Brussels,Digital Economy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
52,"Leon Delvaux, Cabinet member of Jean-Claude Juncker;Luc Tholoniat, Cabinet member of Jean-Claude Juncker",President,19/09/2017,Brussels,Trade and deepening on EMU,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
53,"Mariya Gabriel, Commissioner",Digital Economy and Society,19/09/2017,Brussels,"Industry Policy, Cybersecurity, Free Flow of data, Broadband",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
54,"Günther Oettinger, Commissioner",Budget & Human Resources,19/09/2017,Brussels,MFF,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
55,"Anne Bucher, Director-General",Director-General of Regulatory Scrutiny Board (RSB),18/07/2017,Brussels,Regulatory Scrutiny Board,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
56,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),4/07/2017,Brussels,"EU Transport policy, decarbonisation",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
57,"Markus Schulte, Cabinet member of Günther Oettinger",Budget & Human Resources,30/06/2017,Brussels,Reflection paper,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
58,"Maximilian Strotmann, Cabinet member of Andrus Ansip",Digital Single Market,26/06/2017,Brussels,DSM Mid-term review,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
59,"Johannes Laitenberger, Director-General",Director-General of Competition (COMP),22/06/2017,Brussels,To discuss competition trends,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
60,"Martin Selmayr, Cabinet member of Jean-Claude Juncker",President,15/06/2017,"Brussels, Belgium",Tpoical EU matters including Agenda for Better Regulation,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
61,"Massimo Suardi, Cabinet member of Valdis Dombrovskis;Jan Ceyssens, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",25/04/2017,Brussels,EMU,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
62,"Agnieszka Drzewoska, Cabinet member of Elżbieta Bieńkowska;Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",24/04/2017,Brussels,compliance package,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
63,"Maria Asenius, Cabinet member of Cecilia Malmström;Pedro Velasco Martins, Cabinet member of Cecilia Malmström",Trade,21/03/2017,Brussels,"Current state of play in Trade negotiations, notably Japan and Mercosur; investment protection; sustainable development; dual fuels.",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
64,"Kilian Gross, Cabinet member of Günther Oettinger",Budget & Human Resources,15/03/2017,Brussels,"winter package, energy",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
65,"Günther Oettinger, Commissioner",Budget & Human Resources,9/02/2017,Brussels,transport policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
66,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,2/02/2017,Brussels,ETS and Market Design,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
67,"Sebastian Kuck, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",19/09/2016,Brussels,Export control of dual use items,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
68,"Kilian Gross, Cabinet member of Günther Oettinger",Digital Economy and Society,13/09/2016,Brussels,trade policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
69,"Günther Oettinger, Commissioner",Digital Economy and Society,8/09/2016,Brussels,Dual use,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
70,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",6/09/2016,Brussels,dual use,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
71,"Maria Cristina Lobillo Borrero, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,6/09/2016,Brussels,Dual Use,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
72,"Kilian Gross, Cabinet member of Günther Oettinger",Digital Economy and Society,6/09/2016,Brussels,trade policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
73,"Bernd Biervert, Cabinet member of Maroš Šefčovič",Energy Union,16/06/2016,Brussels,"Energy Union, ETS",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
74,"Andreas Schwarz, Cabinet member of Kristalina Georgieva",Budget & Human Resources,16/06/2016,Representation to the EU of the Association of German Chambers of Commerce and Industry (CCI Germany),MFF Mid-term review,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
75,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,15/06/2016,Brussels,Main aspects of energy and climate policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
76,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,12/05/2016,Berlin,DSM,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
77,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",12/05/2016,Berlin,DSM,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
78,"Renate Nikolay, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",20/04/2016,"Brussels, Belgium",General overview justice files,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
79,"Martin Selmayr, Cabinet member of Jean-Claude Juncker",President,19/04/2016,"Brussels, Belgium",The challenges facing the Juncker Commission: where are we on the delivery of the 10 Juncker priorities ?,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
80,"Maroš Šefčovič, Vice-President",Energy Union,18/04/2016,Brussels,"Industry, Energy Union, Innovation, Investment",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
81,"Renate Nikolay, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",8/04/2016,"Brussels, Belgium",CBCR,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
82,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,10/03/2016,Brussels,China MES,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
83,"Jan Ceyssens, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",2/03/2016,Brussels,Tax Avoidance Package,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
84,"Robert Schröder, Cabinet member of Carlos Moedas;Keith Sequeira, Cabinet member of Carlos Moedas","Research, Science and Innovation",16/02/2016,Brussels,Feedback on Horizon 2020,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
85,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström;Maria Asenius, Cabinet member of Cecilia Malmström",Trade,28/01/2016,Brussels,China MES,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
86,"Jean-Claude Juncker, President",President,10/12/2015,"Brussels, Belgium",Meeting with Mr Ingo Kramer on the current economic situation and the Single Market,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
87,"Lee Foulger, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",12/11/2015,Brussels,Joint mtg energy assoc/Markets in Financial Instruments Directive II,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
88,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,4/11/2015,Berlin,BDI,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
89,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",22/10/2015,Brussels,Cssrs mission to Berlin,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
90,"Günther Oettinger, Commissioner",Digital Economy and Society,5/10/2015,Munich,Smart Home Appliances,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
91,"Daniel Calleja Crespo, Director-General",Director-General of Environment (ENV),15/09/2015,Brussels,EU environmental issues and circular economy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
92,"Pierre Schellekens, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,15/09/2015,Brussels,Energy Union and Climate,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
93,"Christian Linder, Cabinet member of Maroš Šefčovič",Energy Union,11/09/2015,Brussels,Energy Union Strategy with a forward-looking climate policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
94,"Reinhard Felke, Cabinet member of Pierre Moscovici;Fabien Dell, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",10/09/2015,Brussels,Exchange of views on economic situation in European Area,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
95,"Jan Ceyssens, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",10/09/2015,"Brussels, belgium",EU financial services regulation and its impact on industry,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
96,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,4/09/2015,Berlin,DSM,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
97,"Markus Schulte, Cabinet member of Günther Oettinger",Digital Economy and Society,16/08/2015,Berlin,DSM,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
98,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",15/07/2015,Brussels,introductory meeting,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
99,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,13/05/2015,Brussels,Digitalisierung der Industrie,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
100,"Günther Oettinger, Commissioner",Digital Economy and Society,24/04/2015,"Berlin, Germany",Industry 4.0,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
101,"Friedrich Wenzel Bulst, Cabinet member of Margrethe Vestager",Competition,23/04/2015,"Brussels, Belgium",Introduction to BDI /BDA The German Business Representation,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
102,"Karl-Friedrich Falkenberg, Director-General",Director-General of Environment (ENV),25/03/2015,Brussels,BDI position paper on raw materials,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
103,"Daniel Calleja Crespo, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",23/03/2015,Brussels,"Circular Economy, Investments and Energy Union",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
104,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",19/03/2015,"Brussels, Belgium",European industry policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
105,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,18/03/2015,Berl 8/165,ETS Market design,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
106,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,11/03/2015,Berlin,Digitalisierung der Industrie,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
107,"Jean-Claude Juncker, President",President,2/03/2015,Berlin,Speaker at BDI (German industry federation) gala dinner,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
109,"Eveline Lecoq, Cabinet member of Carlos Moedas","Research, Science and Innovation",11/02/2015,Brussels,Prep meeting for meeting between the Commissioner and the BDI Committee for R&I&T-Policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
110,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,11/02/2015,Brussels,TTIP and Russia,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
111,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,11/02/2015,Brussels,TTIP and Russia,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
112,"Valérie Herzberg, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",28/01/2015,Brussels,Capital Markets Union,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
113,"Alfred Matthias Ruete, Director-General",Director-General of Migration and Home Affairs (HOME),14/01/2015,"Berlin, Germany","Legal Migration, Labour/Economic Migration",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
114,"Valérie Herzberg, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",16/12/2014,Brussels,Investment initiative,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
115,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,12/12/2014,Brussels,Digitale Transformation der Industrie,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
116,"Christian Burgsmueller, Cabinet member of Cecilia Malmström",Trade,3/12/2014,Brussels,TTIP; expectations from the German economy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
1,"Walter Goetz, Cabinet member of Adina Vălean",Transport,3/03/2020,Brussels,Aviation,Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL),FALSE,,,
2,"Alfred Matthias Ruete, Director-General",Director-General of Migration and Home Affairs (HOME),16/06/2016,"Frankfurt, Germany",Discussion on Security and Migration,Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL),FALSE,,,
3,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),30/11/2015,"Brussels, Belgium",aviation strategy for Europe,Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL),FALSE,,,
4,"Marjeta Jager, Cabinet member of Violeta Bulc",Transport,18/03/2015,Brussels/BE,BDL German Aviation Association,Bundesverband der Deutschen Luftverkehrswirtschaft e. V. (BDL),FALSE,,,
1,"Simeona Manova, Cabinet member of Elisa Ferreira",Cohesion and Reforms,2/12/2020,Brussels,Update on UNWTO recent activities,Bundesverband der Deutschen Tourismuswirtschaft e. V. (BTW),FALSE,,,
2,"Michael Hager, Cabinet member of Valdis Dombrovskis",An Economy that Works for People,12/02/2020,Brussels,Priorities of the Commission related to tourism,Bundesverband der Deutschen Tourismuswirtschaft e. V. (BTW),FALSE,,,
3,"Francisco Barros Castro, Cabinet member of Elisa Ferreira",Cohesion and Reforms,12/02/2020,Brussels,Discuss important topics in tourism,Bundesverband der Deutschen Tourismuswirtschaft e. V. (BTW),FALSE,,,
